file_id,file_name,case_id
3494de61-2d94-4acf-8e54-705f811a764e,3e1c728a-cf38-4ca8-9d87-0bbf098567a6.rna_seq.augmented_star_gene_counts.tsv,TCGA-FR-A8YD
293f11c8-1d40-4ff1-84be-ca82847e1c20,6a43f966-cb2b-47ee-b0f4-c269707daa88.rna_seq.augmented_star_gene_counts.tsv,TCGA-GN-A266
852435f1-d6c4-4efa-8c27-ab27245640df,ef86558c-8a25-4bde-b139-ecf98e04ef0e.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A184
688a66a2-4c35-46c0-81c4-e3cfc762a4f8,6059e3d0-6430-4875-99df-9252a508974c.rna_seq.augmented_star_gene_counts.tsv,TCGA-ER-A193
caf4a07f-721c-42bd-8496-a9cc06f9200f,3cf35e3b-812f-4cc1-bd37-e78fd6af6dc4.rna_seq.augmented_star_gene_counts.tsv,TCGA-ER-A42K
713980be-5929-4a1a-9a8a-ca0eba67fac5,14bc145a-8b15-42d2-bb12-d9a0f75a90f4.rna_seq.augmented_star_gene_counts.tsv,TCGA-RP-A694
e0855900-7f4b-4a49-997a-2bbd5bf4268f,350f38a2-e597-494a-a387-975814453726.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A17Y
7054573f-31e7-4718-bfdb-a674a1f53905,a8a19765-9554-4eba-876f-c7da2199cf20.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A20C
7042afe8-04ac-42d2-87ee-1ba95cf67b8a,b1f01324-d0ca-4779-9ae0-5348e2613084.rna_seq.augmented_star_gene_counts.tsv,TCGA-ER-A194
27c45a4f-c722-4e5e-b5a1-ca4f915c756b,69d9a82b-5c37-45bd-a1cf-ffe1392e84fc.rna_seq.augmented_star_gene_counts.tsv,TCGA-EB-A57M
c4d6825d-8b46-41c5-8902-7919da14ffb9,edef6762-dd96-4284-81e6-2e128af287fa.rna_seq.augmented_star_gene_counts.tsv,TCGA-DA-A95V
3fa8ca20-a82b-482a-bccf-5b7b38768b4c,176e93be-1ae5-43f2-a0b5-17f31695e679.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A2JE
00fb6c2d-3abc-4d05-8506-e2d951543346,4f0c3ed0-647a-422e-b771-f201f5d5d29e.rna_seq.augmented_star_gene_counts.tsv,TCGA-DA-A1I8
099f829c-642c-4cf8-a48d-eaf4602eb5e8,399cd50c-1439-48a4-ba3b-a0782b2b7b62.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A2JD
c73b76ac-c4fd-4896-b4cf-f73074040a34,c0ec10f4-f2d0-4a17-b2a2-3726a67de7f9.rna_seq.augmented_star_gene_counts.tsv,TCGA-ER-A3ET
b2daff13-4bef-4182-b8ad-61fdc38b7568,4170ae68-a4d2-4095-af47-4f981f7812a4.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A5GR
1e7f4af7-c5dc-4724-bd72-caedcb49dd6a,f426318a-9c1a-4476-a087-2b3a84096f5c.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A3MR
302aff21-ad7d-43cf-aa95-0bbf3535827f,98e3beb5-bff2-4c4e-b492-c4ed7dda9d9c.rna_seq.augmented_star_gene_counts.tsv,TCGA-WE-A8ZX
a85800db-9522-4bb5-a95e-0fa7a21f1776,a88a1582-88b8-4e7e-9baf-09279b49a492.rna_seq.augmented_star_gene_counts.tsv,TCGA-D9-A149
131c2ec9-8fe3-4b83-b638-c8c9df564509,689c3b5e-8bff-45d0-8165-b4b0e6dbf910.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A29V
f79900ab-458d-4189-9544-70269dd3be82,d4cdfd13-829c-4f29-984b-5a8897437e3e.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A2GP
0b6bb6c7-08dd-4b78-a064-419c16b881fc,63e18642-fcf3-460b-95de-de16428dea6d.rna_seq.augmented_star_gene_counts.tsv,TCGA-GN-A4U7
72e923f1-e883-4059-9ca9-819f575a010f,e5b29c06-2ed0-4913-bf24-5bfde047defc.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A51F
3b684369-ea5c-43e4-8a58-0d550b2ca1e5,f7efd016-c382-4eef-9be3-c3e8b3a5386f.rna_seq.augmented_star_gene_counts.tsv,TCGA-WE-A8K5
971db7b3-354f-49ab-810c-dab3f78d2d7e,4f521ce8-4aac-4ea5-abbe-732ff9ac5409.rna_seq.augmented_star_gene_counts.tsv,TCGA-DA-A1IA
170aa982-33f1-41d0-b0f0-2585d6e8f906,e0b0b87d-1125-4834-8133-5d719f1fd255.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A2GU
768b55e7-3798-450f-9239-ebb33bc1e369,ac07e4e9-fa65-49f2-9f83-f13cc8a169d3.rna_seq.augmented_star_gene_counts.tsv,TCGA-FS-A1ZJ
8b1ff403-c597-4c88-8e32-1e19c8c7c6ec,b556b718-38cf-498d-94c7-4e240fe57d48.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A29X
293079bc-8ce1-4e83-98a3-34e147aaecef,37e6146e-6fec-4160-822c-404a517610a8.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A2GM
67694d6e-4c3c-4041-b97a-862aaaba8c89,25d48b78-8622-42af-b33f-4034a42f30cb.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A1Q3
d720c204-3ccb-4551-ab28-188712a97667,97a6e3bc-f272-4d88-a1fe-ef3541cdf296.rna_seq.augmented_star_gene_counts.tsv,TCGA-GN-A9SD
c53c476f-3cba-4a0c-adec-52943b368d70,edebd870-f100-41bb-946f-2edd4babbc80.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A3ML
0675a938-3af9-4ac6-9fb6-9ff270dc6a65,06d5607b-45d7-4247-8d42-709d9d292530.rna_seq.augmented_star_gene_counts.tsv,TCGA-FS-A1ZW
2673447a-63f1-4221-87d7-c959a6d495c8,0056507f-a296-4148-bc9f-a831249c7973.rna_seq.augmented_star_gene_counts.tsv,TCGA-FS-A4F8
2d9f84cc-795e-4aef-890f-c2fc090e96e6,9604472c-4956-4170-8ba7-419f3e8d7418.rna_seq.augmented_star_gene_counts.tsv,TCGA-W3-A825
5598235e-d2d1-46b9-9ef7-b1cab62fb633,20a06f04-b457-408f-8c3c-f0032badf064.rna_seq.augmented_star_gene_counts.tsv,TCGA-GN-A267
68badaa1-8052-44e2-a55e-67b657c87af2,1c25bdab-9259-4b1f-b4d5-20b496d36a1a.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A8GQ
2dc18822-81e0-4200-9cde-94007b64bac6,ac295603-d08a-43f7-a78b-610be32aa49f.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A3JA
67bdcff7-5af1-4f24-8eac-f47c133c9398,5a674268-79a8-4a30-a6db-a4fd0b83e208.rna_seq.augmented_star_gene_counts.tsv,TCGA-GF-A6C9
04e2cdb4-4e22-4d01-b451-18002e2df72c,9f621704-2ece-4b25-be28-5fe14f71048d.rna_seq.augmented_star_gene_counts.tsv,TCGA-ER-A19A
5c5b0972-267f-481b-88d6-7800e7cd52f2,6bf9821d-da67-470f-9650-69d05b056166.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A2GE
1c6cb4d2-e5af-42ce-a2cc-9b2610cccd6e,5572a203-73b9-4a85-b47d-af228abca5b1.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A51G
f49a4212-5c4a-4c46-aba5-2d586e100070,364e9fa9-3e1f-47cc-959a-1a2b3061c5d4.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A29A
f1c96d98-c614-4a8e-8035-bb3bd0f665f6,be9a8b34-4ecb-4542-8d30-4d5019fd1903.rna_seq.augmented_star_gene_counts.tsv,TCGA-FR-A726
397d35c9-da0a-4967-a30d-cc02fb35b127,718c4754-af81-496f-878d-83222a2581b8.rna_seq.augmented_star_gene_counts.tsv,TCGA-XV-A9VZ
aeada084-449f-4752-8794-61b0e89d213d,b2b4cc41-5760-4463-bcde-16115ceb12c2.rna_seq.augmented_star_gene_counts.tsv,TCGA-BF-A1PZ
939ca952-64a3-4b9a-9237-1e7a6251c36b,fa9f3cc6-06eb-4cfd-8f85-9d13df39d11e.rna_seq.augmented_star_gene_counts.tsv,TCGA-W3-AA21
ed72b0fe-a8b5-4ef1-878b-a67f1bfa8aa4,f8877925-49e4-420e-8bd8-cac3a47b67d1.rna_seq.augmented_star_gene_counts.tsv,TCGA-FS-A1ZP
1b354090-3362-4233-bb8a-c50bca73497c,967bf1b6-e9da-42b7-8d3c-e6a56394b568.rna_seq.augmented_star_gene_counts.tsv,TCGA-EB-A4IQ
cfce8a54-88f6-4bc1-8d1d-840d548568bb,dd629237-9358-4b4d-bbf2-346e3d5c34be.rna_seq.augmented_star_gene_counts.tsv,TCGA-EB-A82C
26df792e-6170-4252-b133-1036a584261f,362a2015-1791-4934-be81-df39540b38ff.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A51H
